problem_size,nprocs,mean_runtime,std_runtime,speedup,efficiency,c
165,1,0.25,0.00,1.00,1.00,cs
165,2,0.14,0.00,1.82,0.91,cs
165,4,0.08,0.00,3.17,0.79,cs
165,8,0.06,0.00,4.20,0.52,cs
165,16,0.06,0.00,4.32,0.27,cs
165,24,0.07,0.00,3.49,0.15,cs
165,32,0.08,0.00,3.04,0.09,cs
1020,1,8.59,0.01,1.00,1.00,cs
1020,2,4.58,0.03,1.88,0.94,cs
1020,4,2.36,0.01,3.64,0.91,cs
1020,8,1.26,0.02,6.84,0.86,cs
1020,16,0.65,0.01,13.26,0.83,cs
1020,24,0.53,0.01,16.08,0.67,cs
1020,32,0.48,0.01,17.89,0.56,cs
