problem_size,nprocs,runtime,c,run_rep
165,1,0.30792399699566886,cb,0
165,1,0.3071589969913475,cb,1
165,1,0.3142786169773899,cb,2
165,2,0.16630077199079096,cb,0
165,2,0.16778488300042227,cb,1
165,2,0.16400058002909645,cb,2
165,4,0.10455653496319428,cb,0
165,4,0.10473184095462784,cb,1
165,4,0.10521221999078989,cb,2
165,8,0.07705817895475775,cb,0
165,8,0.0766692059696652,cb,1
165,8,0.0765548039926216,cb,2
165,16,0.0681177270016633,cb,0
165,16,0.06864728702930734,cb,1
165,16,0.06879417598247528,cb,2
165,24,0.07719798799371347,cb,0
165,24,0.07846408401383087,cb,1
165,24,0.07926153799053282,cb,2
165,32,0.09190183895407245,cb,0
165,32,0.09019101300509647,cb,1
165,32,0.0913995019509457,cb,2
1020,1,10.978847862978,cb,0
1020,1,10.897462256019935,cb,1
1020,1,10.914540830999613,cb,2
1020,2,5.767503284965642,cb,0
1020,2,5.925966734008398,cb,1
1020,2,5.829131075006444,cb,2
1020,4,2.9323721030377783,cb,0
1020,4,2.9195994840119965,cb,1
1020,4,2.934425995044876,cb,2
1020,8,1.6427879339898936,cb,0
1020,8,1.634509249997791,cb,1
1020,8,1.6422339950222522,cb,2
1020,16,0.8231503909919411,cb,0
1020,16,0.8289885920239612,cb,1
1020,16,0.8170139970025048,cb,2
1020,24,0.6439456159714609,cb,0
1020,24,0.6337797309970483,cb,1
1020,24,0.6324302410357632,cb,2
1020,32,0.6186405699700117,cb,0
1020,32,0.623493638006039,cb,1
1020,32,0.6174796060076915,cb,2
165,1,0.246893898001872,cs,0
165,1,0.2522064240183681,cs,1
165,1,0.251188424997963,cs,2
165,2,0.13575533597031608,cs,0
165,2,0.1382269220193848,cs,1
165,2,0.1372052239603363,cs,2
165,4,0.07817077095387504,cs,0
165,4,0.07885395700577646,cs,1
165,4,0.07960245403228328,cs,2
165,8,0.059296823979821056,cs,0
165,8,0.05987887899391353,cs,1
165,8,0.05953498696908355,cs,2
165,16,0.057884100009687245,cs,0
165,16,0.057143712998367846,cs,1
165,16,0.05858547298703343,cs,2
165,24,0.07398773200111464,cs,0
165,24,0.0689712530001998,cs,1
165,24,0.07204260199796408,cs,2
165,32,0.08386856503784657,cs,0
165,32,0.08143291802844033,cs,1
165,32,0.08172820002073422,cs,2
1020,1,8.573274385009427,cs,0
1020,1,8.598927867016755,cs,1
1020,1,8.600709708989598,cs,2
1020,2,4.616632614983246,cs,0
1020,2,4.559643250948284,cs,1
1020,2,4.567340016947128,cs,2
1020,4,2.380139696004335,cs,0
1020,4,2.354690698964987,cs,1
1020,4,2.3540204860037193,cs,2
1020,8,1.2466805820004083,cs,0
1020,8,1.2786827019881457,cs,1
1020,8,1.2417129410314374,cs,2
1020,16,0.642050364986062,cs,0
1020,16,0.638328007014934,cs,1
1020,16,0.663708604988642,cs,2
1020,24,0.5271754969726317,cs,0
1020,24,0.5351233050459996,cs,1
1020,24,0.5400595659739338,cs,2
1020,32,0.4869763390161097,cs,0
1020,32,0.46826874499674886,cs,1
1020,32,0.48550870100734755,cs,2
